timestamp,canary_error_rate,stable_error_rate,canary_p95_latency,stable_p95_latency,traffic_weight_canary
2026-08-20 15:53:32,,,48.75,48.75,0.4
2026-08-20 15:53:47,,,48.75,48.75,0.5
2026-08-20 15:54:02,,,90.0,48.75,0.5714285714285715
2026-08-20 15:54:17,,,90.0,90.0,0.5
2026-08-20 15:54:32,,,92.49999999999999,95.0,0.37499999999999994
2026-08-20 15:54:47,,,,849.9999999999995,0.0
2026-08-20 15:55:02,,,818.8933333333332,825.0000000000002,0.39849107188890986
2026-08-20 15:55:17,,,814.9333333333334,825.0000000000002,0.45052788570980024
2026-08-20 15:55:32,,,737.5955555555554,91.25,0.5
2026-08-20 15:55:47,,,84.99999999999994,84.99999999999994,0.5
2026-08-20 15:56:02,,,87.49999999999999,87.49999999999999,0.5
2026-08-20 15:56:17,,,48.75,48.75,0.5
2026-08-20 15:56:32,,,48.75,48.75,0.4
2026-08-20 15:56:47,,,92.49999999999999,92.49999999999999,0.5
2026-08-20 15:57:02,,,90.0,90.0,0.5
2026-08-20 15:57:17,,,92.49999999999999,900.0,0.5
2026-08-20 15:57:32,,,48.75,900.0,0.19999999999999998
2026-08-20 15:57:47,,,,874.9999999999998,0.0
2026-08-20 15:58:02,,,832.5666666666665,95.0,0.2950713740233802
2026-08-20 15:58:17,,,98.73549281136322,95.0,0.33333333333333337
2026-08-20 15:58:32,,,98.73549281136322,90.0,0.5
2026-08-20 15:58:47,,,49.6838732028408,48.75,0.37499999999999994
2026-08-20 15:59:02,,,48.75,48.75,0.46153846153846145
2026-08-20 15:59:17,,,48.75,48.75,0.5
2026-08-20 15:59:32,,,48.75,48.75,0.5454545454545454
2026-08-20 15:59:47,,,48.75,48.75,0.5714285714285715
2026-08-20 16:00:02,,,48.75,48.75,0.4444444444444444
2026-08-20 16:00:17,,,90.0,93.75,0.4
2026-08-20 16:00:32,,,92.49999999999999,849.9999999999995,0.3333333333333333
2026-08-20 16:00:47,,,95.0,874.9999999999998,0.33333333333333337
2026-08-20 16:01:02,,,,950.0,0.0
2026-08-20 16:01:17,,,49.35481114339428,48.75,0.42857142857142855
2026-08-20 16:01:32,,,49.35481114339428,48.75,0.5
2026-08-20 16:01:47,,,94.83848914715429,87.49999999999999,0.5
2026-08-20 16:02:02,,,95.0,92.49999999999999,0.39999999999999997
2026-08-20 16:02:17,,,95.0,92.49999999999999,0.39999999999999997
2026-08-20 16:02:32,,,48.75,48.75,0.5
2026-08-20 16:02:47,,,48.75,90.0,0.33333333333333337
2026-08-20 16:03:02,,,90.0,90.0,0.5
2026-08-20 16:03:17,,,90.0,849.9999999999995,0.41666666666666674
2026-08-20 16:03:32,,,868.5269675737329,900.0,0.5834374739648421
2026-08-20 16:03:47,,,849.4285425305955,825.0000000000002,0.4892300507851264
2026-08-20 16:04:02,,,847.5012832734469,90.0,0.5714285714285715
2026-08-20 16:04:17,,,48.75,90.0,0.5
2026-08-20 16:04:32,,,90.0,92.49999999999999,0.42857142857142855
2026-08-20 16:04:47,,,87.49999999999999,93.75,0.5
2026-08-20 16:05:02,,,84.99999999999994,92.49999999999999,0.5
2026-08-20 16:05:17,,,48.47220637843651,84.99999999999994,0.5454545454545454
2026-08-20 16:05:32,,,48.47220637843651,48.75,0.5
2026-08-20 16:05:47,,,48.47220637843651,48.75,0.5
2026-08-20 16:06:02,,,48.75,48.75,0.5
2026-08-20 16:06:17,,,48.75,48.75,0.5
2026-08-20 16:06:32,,,48.75,900.0,0.33333333333333337
2026-08-20 16:06:47,,,832.13,900.0,0.5017985073883282
2026-08-20 16:07:02,,,793.4416666666666,849.9999999999995,0.5080656732326235
2026-08-20 16:07:17,,,91.93840270427143,82.50000000000001,0.5
2026-08-20 16:07:32,,,82.49999999999997,88.75,0.4999555595058217
