time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets,sinr_db,rsrp_dbm,packet_loss_rate
4.7,2,7.3728,51.4871,1.33899,0,-15.1375,-140,0
4.8,1,0.27648,154.868,6.71353,0,-15.1375,-140,0
4.8,2,7.168,139.162,1.31824,0,-15.1375,-140,0
4.9,1,10.8646,23.6597,0.298094,0,44.8625,-140,0
4.9,2,138.445,117.931,0.157696,0,44.8625,-140,0
5,1,10.24,0.320531,0.03,0,44.8625,-140,0
5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
5.1,1,10.24,0.320531,0.03,0,44.8625,-140,0
5.1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
5.2,1,10.24,0.320531,0.03,0,44.8625,-140,0
5.2,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
5.3,1,10.24,0.320531,0.03,0,44.8625,-140,0
5.3,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
5.4,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
5.4,2,7.4752,51.6831,1.31714,0,-15.1375,-140,0
5.5,1,0.28672,146.893,6.93208,0,-15.1375,-140,0
5.5,2,7.5776,138.453,1.24248,0,-15.1375,-140,0
5.6,1,10.6906,23.6073,0.298019,0,44.8625,-140,0
5.6,2,138.342,117.342,0.157403,0,44.8625,-140,0
5.7,1,10.24,0.320531,0.03,0,44.8625,-140,0
5.7,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
5.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
5.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
5.9,1,10.24,0.320531,0.03,0,44.8625,-140,0
5.9,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
6,1,10.24,0.320531,0.03,0,44.8625,-140,0
6,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
6.1,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
6.1,2,7.2704,52.0697,1.35794,0,-15.1375,-140,0
6.2,1,0.27648,151.815,7.25612,0,-15.1375,-140,0
6.2,2,7.2704,139.376,1.29745,0,-15.1375,-140,0
6.3,1,10.8032,24.9134,0.293813,0,44.8625,-140,0
6.3,2,138.445,117.824,0.157451,0,44.8625,-140,0
6.4,1,10.24,0.320531,0.03,0,44.8625,-140,0
6.4,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
6.5,1,10.24,0.320531,0.03,0,44.8625,-140,0
6.5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
6.6,1,10.24,0.320531,0.03,0,44.8625,-140,0
6.6,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
6.7,1,10.24,0.320531,0.03,0,44.8625,-140,0
6.7,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
6.8,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
6.8,2,7.3728,51.9388,1.34159,0,-15.1375,-140,0
6.9,1,0.38912,160.609,4.79843,0,-15.1375,-140,0
6.9,2,7.3728,139.796,1.28715,0,-15.1375,-140,0
7,1,10.7725,22.3102,0.300805,0,44.8625,-140,0
7,2,138.342,117.685,0.156697,0,44.8625,-140,0
7.1,1,10.24,0.320531,0.03,0,44.8625,-140,0
7.1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
7.2,1,10.24,0.320531,0.03,0,44.8625,-140,0
7.2,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
7.3,1,10.24,0.320531,0.03,0,44.8625,-140,0
7.3,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
7.4,1,10.24,0.320531,0.03,0,44.8625,-140,0
7.4,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
7.5,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
7.5,2,7.2704,51.8244,1.35894,0,-15.1375,-140,0
7.6,1,0.31744,150.228,6.22549,0,-15.1375,-140,0
7.6,2,7.3728,139.445,1.28889,0,-15.1375,-140,0
7.7,1,10.7827,23.1631,0.292566,0,44.8625,-140,0
7.7,2,138.445,117.777,0.156642,0,44.8625,-140,0
7.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
7.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
7.9,1,10.24,0.320531,0.03,0,44.8625,-140,0
7.9,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
8,1,10.24,0.320531,0.03,0,44.8625,-140,0
8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
8.1,1,10.24,0.320531,0.03,0,44.8625,-140,0
8.1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
8.2,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
8.2,2,7.2704,51.5829,1.34649,0,-15.1375,-140,0
8.3,1,0.3072,153.251,6.64634,0,-15.1375,-140,0
8.3,2,7.3728,138.639,1.29062,0,-15.1375,-140,0
8.4,1,10.7725,24.7692,0.291894,0,44.8625,-140,0
8.4,2,138.445,117.75,0.157612,0,44.8625,-140,0
8.5,1,10.24,0.320531,0.03,0,44.8625,-140,0
8.5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
8.6,1,10.24,0.320531,0.03,0,44.8625,-140,0
8.6,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
8.7,1,10.24,0.320531,0.03,0,44.8625,-140,0
8.7,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
8.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
8.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
8.9,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
8.9,2,7.2704,51.5784,1.34825,0,-15.1375,-140,0
9,1,0.4096,155.599,4.57288,0,-15.1375,-140,0
9,2,7.3728,138.823,1.29062,0,-15.1375,-140,0
9.1,1,10.7213,23.9258,0.31005,0,44.8625,-140,0
9.1,2,138.445,117.753,0.157435,0,44.8625,-140,0
9.2,1,10.24,0.320531,0.03,0,44.8625,-140,0
9.2,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
9.3,1,10.24,0.320531,0.03,0,44.8625,-140,0
9.3,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
9.4,1,10.24,0.320531,0.03,0,44.8625,-140,0
9.4,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
9.5,1,10.24,0.320531,0.03,0,44.8625,-140,0
9.5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
9.6,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
9.6,2,7.68,52.0288,1.2891,0,-15.1375,-140,0
9.7,1,0.21504,162.249,8.87751,0,-15.1375,-140,0
9.7,2,7.5776,138.753,1.23953,0,-15.1375,-140,0
9.8,1,10.8032,22.0521,0.290768,0,44.8625,-140,0
9.8,2,138.342,117.212,0.157137,0,44.8625,-140,0
9.9,1,10.24,0.320531,0.03,0,44.8625,-140,0
9.9,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
10,1,10.24,0.320531,0.03,0,44.8625,-140,0
10,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
10.1,1,10.24,0.320531,0.03,0,44.8625,-140,0
10.1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
10.2,1,10.24,0.320531,0.03,0,44.8625,-140,0
10.2,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
10.3,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
10.3,2,7.168,52.6516,1.37948,0,-15.1375,-140,0
10.4,1,0.31744,156.078,6.44888,0,-15.1375,-140,0
10.4,2,7.3728,139.759,1.28895,0,-15.1375,-140,0
10.5,1,10.7725,23.9421,0.288852,878,44.8625,-140,0.454922
10.5,2,138.342,117.82,0.157035,0,44.8625,-140,0
10.6,1,10.24,0.320531,0.03,880,44.8625,-140,0.468085
10.6,2,102.4,0.351783,0.0585696,914,44.8625,-140,0.477534
10.7,1,10.24,0.320531,0.03,6,44.8625,-140,0.00596421
10.7,2,102.4,0.351783,0.0585696,279,44.8625,-140,0.218139
10.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
10.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
10.9,1,10.24,0.320531,0.03,0,44.8625,-140,0
10.9,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
11,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
11,2,7.3728,51.9575,1.3442,0,-15.1375,-140,0
11.1,1,0.24576,149.881,8.23084,2,-15.1375,-140,0.0769231
11.1,2,7.3728,139.583,1.28281,3,-15.1375,-140,0.04
11.2,1,10.711,22.8861,0.289689,908,44.8625,-140,0.464688
11.2,2,138.342,117.674,0.157159,1,44.8625,-140,0.000739645
11.3,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
11.3,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
11.4,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
11.4,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
11.5,1,10.24,0.320531,0.03,0,44.8625,-140,0
11.5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
11.6,1,10.24,0.320531,0.03,0,44.8625,-140,0
11.6,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
11.7,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
11.7,2,7.168,51.9417,1.36296,0,-15.1375,-140,0
11.8,1,0.27648,157.714,7.12093,2,-15.1375,-140,0.0689655
11.8,2,7.3728,139.064,1.29757,3,-15.1375,-140,0.04
11.9,1,10.793,25.115,0.29772,911,44.8625,-140,0.463613
11.9,2,138.445,117.825,0.157241,1,44.8625,-140,0.000739098
12,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
12,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
12.1,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
12.1,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
12.2,1,10.24,0.320531,0.03,0,44.8625,-140,0
12.2,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
12.3,1,10.24,0.320531,0.03,0,44.8625,-140,0
12.3,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
12.4,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
12.4,2,7.2704,51.6538,1.34762,0,-15.1375,-140,0
12.5,1,0.33792,148.619,6.08531,2,-15.1375,-140,0.0571429
12.5,2,7.3728,139.03,1.29937,3,-15.1375,-140,0.04
12.6,1,10.8339,25.8753,0.291042,907,44.8625,-140,0.461578
12.6,2,138.445,117.77,0.157029,1,44.8625,-140,0.000739098
12.7,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
12.7,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
12.8,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
12.8,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
12.9,1,10.24,0.320531,0.03,0,44.8625,-140,0
12.9,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
13,1,10.24,0.320531,0.03,0,44.8625,-140,0
13,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
13.1,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
13.1,2,7.2704,51.6548,1.3497,0,-15.1375,-140,0
13.2,1,0.32768,152.175,5.68563,2,-15.1375,-140,0.0588235
13.2,2,7.3728,139.17,1.29149,3,-15.1375,-140,0.04
13.3,1,10.752,24.4575,0.310402,910,44.8625,-140,0.464286
13.3,2,138.445,117.761,0.156967,1,44.8625,-140,0.000739098
13.4,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
13.4,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
13.5,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
13.5,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
13.6,1,10.24,0.320531,0.03,0,44.8625,-140,0
13.6,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
13.7,1,10.24,0.320531,0.03,0,44.8625,-140,0
13.7,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
13.8,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
13.8,2,7.2704,51.9014,1.35385,0,-15.1375,-140,0
13.9,1,0.33792,156.906,5.69894,2,-15.1375,-140,0.0571429
13.9,2,7.2704,138.967,1.30053,3,-15.1375,-140,0.0405405
14,1,10.793,24.4521,0.301373,911,44.8625,-140,0.463613
14,2,138.547,117.837,0.157731,1,44.8625,-140,0.000738552
14.1,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
14.1,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
14.2,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
14.2,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
14.3,1,10.24,0.320531,0.03,0,44.8625,-140,0
14.3,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
14.4,1,10.24,0.320531,0.03,0,44.8625,-140,0
14.4,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
14.5,1,0.02048,0.314281,0.03125,0,-0.638034,-140,0
14.5,2,7.4752,51.8471,1.32313,0,-0.638034,-140,0
14.6,1,0.23552,160.906,8.10338,2,-0.638034,-140,0.08
14.6,2,7.3728,139.483,1.28759,3,-0.638034,-140,0.04
14.7,1,10.793,25.0553,0.30167,904,44.8625,-140,0.461696
14.7,2,138.342,117.617,0.15691,1,44.8625,-140,0.000739645
14.8,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
14.8,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
14.9,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
14.9,2,102.4,0.351783,0.0585696,590,44.8625,-140,0.371069
15,1,10.24,0.320531,0.03,0,44.8625,-140,0
15,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
15.1,1,10.24,0.320531,0.03,0,44.8625,-140,0
15.1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
15.2,1,0.02048,0.314281,0.03125,0,-0.638034,-140,0
15.2,2,7.4752,51.2456,1.31003,0,-0.638034,-140,0
15.3,1,0.21504,151.498,9.05787,2,-0.638034,-140,0.0869565
15.3,2,7.5776,138.225,1.25298,3,-0.638034,-140,0.038961
15.4,1,10.7622,24.7911,0.299688,920,44.8625,-140,0.466768
15.4,2,138.342,117.343,0.157161,1,44.8625,-140,0.000739645
15.5,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
15.5,2,102.4,0.351783,0.0585696,910,44.8625,-140,0.47644
15.6,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
15.6,2,102.4,0.351783,0.0585696,588,44.8625,-140,0.370277
15.7,1,10.24,0.320531,0.03,0,44.8625,-140,0
15.7,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
15.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
15.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
15.9,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
15.9,2,7.2704,52.3061,1.35864,0,-15.1375,-140,0
16,1,0.29696,155.068,6.61173,2,-15.1375,-140,0.0645161
16,2,7.2704,139.222,1.29393,3,-15.1375,-140,0.0405405
16.1,1,10.8237,25.2044,0.297207,910,44.8625,-140,0.462633
16.1,2,138.445,117.808,0.157655,1,44.8625,-140,0.000739098
16.2,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
16.2,2,102.4,0.351783,0.0585696,913,44.8625,-140,0.477261
16.3,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
