time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets,sinr_db,rsrp_dbm,packet_loss_rate
5.5,2,102.4,0.896426,0.12,0,44.8625,-140,0
5.6,1,10.24,0.275891,0.03,0,44.8625,-140,0
5.6,2,102.4,0.896426,0.12,0,44.8625,-140,0
5.7,1,10.24,0.275891,0.03,0,44.8625,-140,0
5.7,2,102.4,0.896426,0.12,0,44.8625,-140,0
5.8,1,10.24,0.275891,0.03,0,44.8625,-140,0
5.8,2,102.4,0.896426,0.12,0,44.8625,-140,0
5.9,1,10.24,0.275891,0.03,0,44.8625,-140,0
5.9,2,102.4,0.896426,0.12,0,44.8625,-140,0
6,1,10.24,0.275891,0.03,0,44.8625,-140,0
6,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.1,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.1,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.2,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.2,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.3,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.3,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.4,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.4,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.5,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.5,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.6,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.6,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.7,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.7,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.8,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.8,2,102.4,0.896426,0.12,0,44.8625,-140,0
6.9,1,10.24,0.275891,0.03,0,44.8625,-140,0
6.9,2,102.4,0.896426,0.12,0,44.8625,-140,0
7,1,10.24,0.275891,0.03,0,44.8625,-140,0
7,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.1,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.1,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.2,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.2,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.3,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.3,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.4,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.4,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.5,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.5,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.6,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.6,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.7,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.7,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.8,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.8,2,102.4,0.896426,0.12,0,44.8625,-140,0
7.9,1,10.24,0.275891,0.03,0,44.8625,-140,0
7.9,2,102.4,0.896426,0.12,0,44.8625,-140,0
