timestamp,canary_error_rate,stable_error_rate,canary_p95_latency,stable_p95_latency,traffic_weight_canary
2026-08-21 07:57:15,0.0,0.0,48.75,90.0,0.5000000000000001
2026-08-21 07:57:30,0.0,0.0,48.75,90.0,0.2
2026-08-21 07:57:45,,0.0,,48.75,0.0
2026-08-21 07:58:00,,0.0,,48.75,0.0
2026-08-21 07:58:15,,0.0,,2274.9999999999995,0.0
2026-08-21 07:58:30,0.0,0.0,95.0,2200.0,0.2738626874341939
2026-08-21 07:58:45,0.0,0.0,90.0,2124.9999999999995,0.3607915956879001
2026-08-21 07:59:00,0.0,0.0,1257.249378624687,90.0,0.42857142857142855
2026-08-21 07:59:15,0.0,0.0,90.0,87.49999999999999,0.4444444444444444
2026-08-21 07:59:30,0.0,0.0,90.0,90.0,0.5
2026-08-21 07:59:45,0.0,0.0,87.49999999999999,87.49999999999999,0.5
2026-08-21 08:00:00,0.0,0.0,48.75,48.75,0.5
2026-08-21 08:00:15,0.0,0.0,48.33173921747447,48.75,0.5
2026-08-21 08:00:30,0.0,0.0,47.99655407300557,48.75,0.5
2026-08-21 08:00:45,0.0,0.0,47.99655407300557,48.75,0.5
2026-08-21 08:01:00,0.0,0.0,48.75,48.75,0.33333333333333337
2026-08-21 08:01:15,0.0,0.0,48.75,48.75,0.5
2026-08-21 08:01:30,,0.0,,2274.9999999999995,0.0
2026-08-21 08:01:45,,0.0,2425.0,2350.0,0.0
2026-08-21 08:02:00,0.0,0.0,2275.0,2124.9999999999995,0.33018520379115174
2026-08-21 08:02:15,0.0,0.0,2200.0,92.49999999999999,0.5
2026-08-21 08:02:30,0.0,0.0,1095.9438377534964,95.0,0.5
2026-08-21 08:02:45,0.0,0.0,95.0,95.0,0.6
2026-08-21 08:03:00,0.0,0.0,95.0,95.0,0.5
2026-08-21 08:03:15,0.0,0.0,95.0,2274.9999999999995,0.25
2026-08-21 08:03:30,,0.0,2369.6739451165536,2350.0,0.0
2026-08-21 08:03:45,,0.0,2425.0,2350.0,0.0
2026-08-21 08:04:00,0.0,0.0,2200.0,92.49999999999999,0.5
2026-08-21 08:04:15,0.0,0.0,99.607788205631,84.99999999999994,0.4545454545454546
2026-08-21 08:04:30,0.0,0.0,99.41168230844644,82.50000000000001,0.5
2026-08-21 08:04:45,0.0,0.0,48.75,48.75,0.5
2026-08-21 08:05:00,0.0,0.0,85.0,95.0,0.5555061772286908
2026-08-21 08:05:15,0.0,0.0,90.0,93.75,0.4444444444444444
2026-08-21 08:05:30,0.0,0.0,92.49999999999999,93.75,0.37499999999999994
2026-08-21 08:05:45,0.0,0.0,2238.4399999999996,2124.9999999999995,0.3434529124428804
2026-08-21 08:06:00,0.0,0.0,2088.44,2274.9999999999995,0.4068567361303334
2026-08-21 08:06:15,0.0,0.19999999999999998,2103.314527503525,2124.9999999999995,0.37499999999999994
2026-08-21 08:06:30,0.0,0.5,48.75,48.75,0.33333333333333337
2026-08-21 08:06:45,0.0,0.33333333333333337,95.0,92.49999999999999,0.5
2026-08-21 08:07:00,0.0,0.0,95.0,95.0,0.49998888913579703
2026-08-21 08:07:15,0.0,0.0,95.0,95.0,0.33333333333333337
2026-08-21 08:07:30,,0.0,48.75,95.0,0.0
2026-08-21 08:07:45,0.0,0.0,2267.24,2200.0,0.36784878943043187
2026-08-21 08:08:00,0.0,0.0,2117.24,2124.9999999999995,0.43359463500838274
2026-08-21 08:08:15,0.0,0.0,1890.9466666666644,2049.999999999998,0.5037439760032643
