time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets
0.5,1,10.2195,0.276811,0.0301907,0
0.5,2,101.376,0.923898,0.119437,0
0.6,1,10.24,0.275891,0.03,0
0.6,2,102.4,0.896426,0.12,0
0.7,1,10.24,0.275891,0.03,0
0.7,2,102.4,0.896426,0.12,0
0.8,1,10.24,0.275891,0.03,0
0.8,2,102.4,0.896426,0.12,0
0.9,1,10.24,0.275891,0.03,0
0.9,2,102.4,0.896426,0.12,0
